id	label	rc	log
01	pytest	0	review/runtime/i1/ci_gate/logs/01_pytest.log
02	validate_at01	0	review/runtime/i1/ci_gate/logs/02_validate_at01.log
03	run_at01	0	review/runtime/i1/ci_gate/logs/03_run_at01.log
04	inspect_at01_strict	0	review/runtime/i1/ci_gate/logs/04_inspect_at01_strict.log
05	inspect_at01_at10_strict	0	review/runtime/i1/ci_gate/logs/05_inspect_at01_at10_strict.log
06	plan_at06	0	review/runtime/i1/ci_gate/logs/06_plan_at06.log
07	wcrt_at06_strict	0	review/runtime/i1/ci_gate/logs/07_wcrt_at06_strict.log
08	export_os_at06_strict	0	review/runtime/i1/ci_gate/logs/08_export_os_at06_strict.log
09	frozen_sched_rate_gate	0	review/runtime/i1/ci_gate/logs/09_frozen_sched_rate_gate.log
